@relation 'Cleaned_data -ver 4'

@attribute LOC numeric
@attribute NBI numeric
@attribute LOCCOM numeric
@attribute NPM numeric
@attribute NSTAM numeric
@attribute NOF numeric
@attribute NSTAF numeric
@attribute NMC numeric
@attribute NMCI numeric
@attribute NMCE numeric
@attribute WMC numeric
@attribute AMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute MFA numeric
@attribute CBO numeric
@attribute IC numeric
@attribute CBM numeric
@attribute CA numeric
@attribute CE numeric
@attribute LCOM numeric
@attribute LCOM3 numeric
@attribute CAM numeric
@attribute DAM numeric
@attribute NPRIF numeric
@attribute NPRIM numeric
@attribute NPROM numeric
@attribute T-LOC numeric
@attribute T-NOT numeric
@attribute T-NOA numeric
@attribute T-NMC numeric
@attribute T-WMC numeric
@attribute T-AMC numeric
@attribute MUTATION_SCORE {0,1}

@data
209,565,207,2,6,3,3,119,39,80,7,52,69,1,0,0,12,0,0,0,12,17,0.78,0.3,1,3,1,0,93,3,7,47,4,30.25,0
129,308,115,11,11,2,2,45,4,41,12,15.58,43,1,0,0,2,0,0,0,2,62,0.86,0.33,1,2,0,0,47,2,3,25,3,25.67,0
105,291,0,10,3,5,2,52,9,43,12,15.58,44,1,0,0,15,1,1,2,13,30,0.73,0.2,0.6,3,1,0,48,3,0,54,4,28.75,0
160,201,160,10,10,1,1,28,4,24,11,10.91,24,1,0,0,3,0,0,1,2,53,0.9,0.2,1,1,0,0,45,1,0,24,3,22.33,0
143,271,143,8,1,10,4,36,5,31,11,14.82,37,1,0,0,6,0,0,0,6,39,0.88,0.36,1,10,1,0,85,4,0,35,7,13.29,0
185,600,172,10,0,3,1,98,27,71,17,22.12,57,2,0,0.55,12,1,2,0,12,32,0.62,0.24,0.67,2,2,5,84,2,0,38,4,45,0
149,317,149,14,2,2,0,39,2,37,16,11.81,44,1,0,0,8,0,0,0,8,0,0.47,0.2,1,1,1,1,175,3,11,128,11,46.09,0
198,416,198,8,0,2,0,55,14,41,9,27.22,41,1,0,0,3,0,0,0,3,24,0.38,0.39,1,2,1,0,62,1,1,18,2,31.5,0
655,691,628,38,0,0,0,85,72,13,40,11.15,72,2,0,0.53,21,1,3,1,20,780,2,0.09,0,0,1,1,106,5,0,121,6,81.33,0
239,622,239,11,1,5,2,85,21,64,13,32.85,62,3,0,0.85,11,0,0,1,10,0,0.78,0.26,1,5,1,0,163,9,8,39,12,14.25,0
182,383,182,13,4,4,0,53,36,17,13,18.77,35,1,0,0,6,0,0,0,6,58,0,0.21,1,4,0,0,51,1,5,23,3,27.67,0
206,571,206,4,1,1,1,86,0,86,5,70.2,55,1,0,0,4,0,0,0,4,0,0.25,0.67,1,1,0,0,48,1,1,28,2,80,0
123,366,123,5,1,6,2,52,10,42,6,41,37,1,0,0,8,0,0,0,8,3,0.7,0.37,1,6,0,0,87,2,0,43,6,23.33,0
484,850,471,24,8,6,1,135,28,107,35,15.43,81,4,0,0.48,7,2,2,1,6,461,0.59,0.28,1,6,8,0,238,21,31,144,25,21.96,0
282,366,282,8,0,2,1,37,8,29,10,25.1,23,1,0,0,0,0,0,0,0,33,0.83,0.5,0.5,1,2,0,27,1,2,9,2,19.5,0
148,500,148,6,0,8,3,107,12,95,7,50.14,43,2,0,0.6,6,0,0,0,6,9,0.83,0.43,0.62,5,0,1,48,1,0,7,2,15,0
28,140,0,6,0,1,0,8,2,6,7,12.43,13,1,0,0,0,1,1,0,0,1,0.17,0.43,1,1,0,1,25,1,0,8,2,13,0
312,1232,312,25,4,0,0,132,79,53,29,26.86,52,1,0,0,6,0,0,0,6,406,2,0.25,0,0,1,2,52,2,4,19,3,19.67,0
186,756,178,8,1,3,2,59,35,24,9,50,38,1,0,0,3,0,0,0,3,0,0.58,0.58,1,2,0,0,48,1,0,38,2,70.5,0
134,390,134,11,1,4,0,36,2,34,11,22.64,33,1,0,0,3,1,1,0,3,0,0.3,0.24,1,4,0,0,90,4,20,50,5,31.2,0
332,1081,316,31,7,4,0,129,21,108,32,20.75,68,1,0,0,6,1,1,2,4,0,0.37,0.22,0,0,0,0,179,9,0,65,14,17.07,0
128,164,123,18,1,0,0,36,4,32,18,5.78,24,1,0,0,5,0,0,2,3,153,2,0.43,0,0,0,0,96,1,3,24,10,10.6,0
48,113,48,3,0,2,0,5,2,3,3,23.67,8,1,0,0,1,1,1,0,1,1,0.5,0.67,0,0,0,0,57,1,5,17,2,28.5,0
56,113,56,3,0,2,0,5,0,5,3,23.67,8,1,0,0,0,1,1,0,0,1,0.5,0.67,0,0,0,0,72,1,10,27,2,51,0
83,210,44,4,0,3,0,24,2,22,7,20,22,1,0,0,2,1,1,0,2,0,0.44,0.34,1,3,0,0,79,7,0,72,9,23.22,0
1365,2057,1365,45,2,2,1,342,114,228,62,20.94,214,2,0,0.42,68,1,1,0,68,1577,0.66,0.07,1,2,16,0,233,9,0,127,12,42.33,0
423,721,423,20,0,2,0,56,12,44,24,19.88,35,1,0,0,1,0,0,1,0,0,0.24,0.62,1,2,4,0,135,10,32,86,11,34.18,0
87,347,87,8,9,4,4,12,11,1,10,28.8,16,1,0,0,6,0,0,0,6,27,0.81,0.22,1,4,1,0,50,3,3,11,4,5.25,0
70,162,59,5,4,0,0,21,1,20,5,19,22,1,0,0,4,0,0,1,3,10,2,0.27,0,0,0,0,64,3,2,16,6,8,0
125,228,125,6,6,0,0,30,2,28,7,21.86,26,1,0,0,7,0,0,0,7,21,2,0.25,0,0,0,0,40,3,4,21,4,16,0
127,279,127,7,7,1,1,56,0,56,8,23.12,36,1,0,0,10,0,0,0,10,26,0.86,0.37,1,1,0,0,140,4,6,97,5,54.2,0
379,693,377,4,10,4,4,75,9,66,11,39.36,42,1,0,0,0,0,0,0,0,53,1.02,0.33,0.75,3,6,0,46,3,8,21,4,11.5,0
142,245,142,4,1,3,2,31,19,12,7,21.43,30,5,0,0.95,15,0,0,1,14,13,0.78,0.31,1,3,1,1,180,7,0,116,9,40.56,0
226,346,215,35,0,0,0,60,41,19,37,5.62,55,3,1,0.67,6,1,7,3,3,666,2,0.24,0,0,1,0,142,8,22,143,9,52.22,0
156,126,156,18,0,0,0,20,16,4,18,4.22,23,1,0,0,35,0,0,34,1,153,2,0.24,0,0,0,0,85,4,9,45,6,24.5,0
154,126,154,18,0,0,0,20,16,4,18,4.22,23,1,0,0,40,0,0,39,1,153,2,0.24,0,0,0,0,87,4,9,45,6,24.5,0
214,683,192,13,1,6,0,105,27,78,19,23.26,58,1,0,0,14,0,0,1,14,139,0.69,0.32,1,6,4,0,95,6,6,76,8,24.5,0
1373,801,1373,21,15,14,13,108,62,46,38,13.61,97,4,0,0.59,45,4,17,0,45,539,0.95,0.1,0.5,7,5,4,106,6,6,89,9,58.67,0
254,971,254,9,10,1,1,100,9,91,11,53.82,29,1,0,0,1,0,0,1,0,25,0.2,0.36,1,1,1,0,64,5,0,24,6,21.5,0
298,553,298,34,0,3,0,78,34,44,34,10.21,82,1,0,0,16,1,1,0,16,113,0.63,0.21,1,3,0,0,117,2,27,110,4,70.75,0
227,584,227,24,7,6,1,58,35,23,26,14.5,46,1,0,0,6,1,1,0,6,257,0.82,0.21,1,6,1,0,73,1,7,59,2,94,0
146,303,146,11,2,7,0,47,17,30,16,11.5,40,2,0,0.06,8,0,0,0,8,108,0.86,0.29,1,7,2,2,106,7,4,141,8,32.62,0
492,740,492,4,6,7,7,28,14,14,7,80.71,21,2,0,0.72,3,1,1,0,3,19,0.98,0.27,0.14,1,2,0,541,30,49,421,34,38.82,0
216,488,216,5,5,1,1,96,37,59,11,27.45,54,1,0,0,18,0,0,0,18,55,1.1,0.33,1,1,5,1,119,1,0,52,2,90.5,0
176,436,166,18,0,10,1,55,9,46,20,13.65,49,1,0,0,3,0,0,1,2,102,0.87,0.68,1,10,2,0,87,3,3,20,8,8.5,0
105,227,105,6,0,2,0,14,7,7,7,21.57,18,1,0,0,3,1,1,0,3,0,0.08,0.36,1,2,1,0,66,1,0,9,2,13.5,0
983,4109,983,46,46,1,1,230,138,92,47,66.02,62,1,0,0,0,0,0,0,0,211,0.35,0.24,0,0,0,0,223,7,22,80,11,69.18,0
518,1234,518,28,8,7,4,144,49,95,40,19.05,125,2,0,0.17,20,0,0,0,20,396,0.97,0.16,1,7,5,0,102,4,0,76,5,47.6,0
70,232,70,4,3,2,2,39,17,22,6,25.83,32,2,0,0.76,6,1,1,3,3,13,0.9,0.4,0.5,1,1,0,58,1,2,28,2,41,0
187,391,187,12,0,3,0,57,54,3,13,19.69,31,2,0,0.88,6,1,35,1,5,0,0.28,0.35,1,3,1,0,713,24,86,680,29,158.07,0
188,395,188,7,0,2,0,53,13,40,8,29.38,39,1,0,0,3,0,0,0,3,16,0.29,0.46,1,2,1,0,62,1,1,18,2,31.5,0
319,797,319,37,1,12,3,79,17,62,38,13.29,69,1,0,0,10,0,0,2,9,403,0.88,0.17,0.83,10,0,0,48,1,5,17,2,25,0
95,177,95,10,0,1,0,24,14,10,10,11.2,28,1,0,0,4,0,0,0,4,0,0,0.32,1,1,0,0,20,1,2,10,2,17,0
94,290,94,4,0,7,0,28,2,26,4,50.75,16,2,0,0.4,3,1,1,1,2,0,0.1,0.38,0,0,0,0,47,2,2,36,3,22.33,0
146,261,146,8,1,1,1,18,12,6,10,18.3,21,2,0,0.63,5,1,3,0,5,9,0.67,0.24,0,0,0,1,200,3,13,106,5,92.2,0
112,167,103,18,0,8,2,6,6,0,18,4.5,19,2,0,0.2,1,0,0,0,1,125,0.92,0.54,0.75,6,0,0,52,2,8,31,3,28.33,0
223,418,223,9,4,3,0,63,7,56,11,27.55,45,1,0,0,9,0,0,0,9,45,0.73,0.36,1,3,2,0,109,2,0,27,4,18.75,0
184,407,171,16,2,9,1,42,17,25,19,13.58,43,1,0,0,5,0,0,0,5,103,0.83,0.46,1,9,2,0,80,3,5,31,6,15.17,0
107,233,107,8,0,3,1,37,12,25,8,18.25,31,4,0,0.71,9,0,0,0,9,0,0.67,0.31,0.67,2,0,0,78,2,2,49,4,33.25,0
343,985,343,18,1,5,2,142,49,93,20,31.5,86,2,0,0.8,29,1,9,1,28,178,0.99,0.17,1,1,1,0,236,3,10,194,8,90.75,0
184,247,155,18,0,7,0,33,6,27,18,7.67,34,2,0,0.26,5,0,0,0,5,123,0.87,0.21,1,7,0,0,84,5,5,35,6,15.33,0
970,3390,970,41,1,6,1,512,169,343,49,42.71,207,2,0,0.06,44,1,1,0,44,1028,0.85,0.17,1,6,7,0,1147,37,59,781,38,89.5,0
1440,2570,1440,71,2,27,5,223,101,122,83,18.81,144,1,0,0,6,1,1,1,5,2761,0.87,0.13,0.85,23,7,0,216,8,34,160,13,41.54,0
425,1159,425,63,1,5,4,224,214,10,72,10.58,150,2,0,0.32,53,0,0,0,53,2416,0.73,0.12,0.4,2,1,7,424,18,90,369,19,51.84,0
761,2822,761,25,4,12,1,198,156,42,30,56.7,70,1,0,0,12,0,0,0,12,9,0.51,0.2,0.67,7,3,0,150,4,10,89,8,35.25,0
149,351,140,8,0,2,0,26,24,2,9,23.44,24,3,0,0.75,7,2,2,0,7,16,0.38,0.29,1,2,1,0,154,7,4,55,11,24,0
271,565,271,6,1,7,2,45,16,29,10,35.5,33,1,0,0,10,0,0,0,10,0,0.6,0.32,1,7,3,0,90,3,3,24,4,27.75,0
135,391,123,7,2,7,2,51,5,46,10,25.8,32,2,0,0.47,5,1,1,0,5,1,0.57,0.26,1,7,2,0,87,3,7,72,7,32,0
577,1723,577,47,47,0,0,126,35,91,48,22,106,1,0,0,16,0,0,9,7,1128,2,0.09,0,0,1,0,139,6,28,84,7,52.43,0
324,1152,324,13,0,2,0,146,105,41,18,41.89,66,1,0,0,19,0,0,0,19,103,0.71,0.3,1,2,5,0,106,4,1,45,9,19.89,0
174,449,174,4,0,5,3,80,13,67,8,36.88,44,1,0,0,8,0,0,0,8,24,1.03,0.42,0.8,4,4,0,117,4,0,46,6,32.67,0
149,260,149,7,0,3,2,29,11,18,7,23.57,30,2,0,0.58,4,1,1,0,4,0,0.78,0.29,1,3,0,0,62,5,8,32,7,29.43,0
153,326,143,1,0,3,0,40,17,23,8,23.38,28,4,0,0.85,5,1,9,0,5,4,0.62,0.3,1,3,2,5,52,2,2,34,3,36,0
793,2451,793,106,5,6,4,389,214,175,113,13.57,182,2,0,0.09,39,1,2,6,34,4884,0.81,0.12,0.5,3,5,1,276,22,41,153,27,38.11,0
240,340,240,9,9,1,1,34,5,29,10,18.1,31,1,0,0,4,0,0,3,1,45,1.11,0.17,0,0,1,0,65,6,0,22,7,8.71,0
153,577,153,3,4,6,2,90,55,35,10,36.8,69,2,0,0.53,21,0,0,0,21,19,0.83,0.3,1,6,2,1,71,3,10,58,7,23.57,0
648,6128,648,3,30,5,5,685,86,599,31,119.48,167,1,0,0,31,0,0,0,31,463,1.01,0.11,1,5,15,0,156,4,8,126,8,62,0
213,1005,213,10,3,2,1,153,43,110,20,33.05,57,1,0,0,9,0,0,4,5,176,0.68,0.29,1,2,8,0,51,3,0,34,5,17.4,0
163,185,163,5,8,5,1,22,9,13,13,8.54,32,1,0,0,12,0,0,0,12,60,0.78,0.17,1,5,3,0,140,3,1,67,9,26.89,0
50,103,50,2,0,0,0,13,7,6,3,19.67,15,1,0,0,2,0,0,0,2,3,2,0.67,0,0,1,0,72,1,0,47,4,40.75,0
185,389,185,19,1,5,0,35,5,30,19,12.21,38,1,0,0,1,1,1,0,1,75,0.57,0.29,1,0,0,0,55,1,4,20,2,51.5,0
165,342,165,4,0,1,0,32,11,21,7,28.43,26,2,0,0.25,8,1,1,0,8,19,0.5,0.37,1,1,0,3,37,1,1,8,4,35.5,0
171,206,171,7,6,1,1,30,28,2,7,16.71,25,1,0,0,9,0,0,0,9,21,1.17,0.31,1,1,0,0,103,3,5,42,7,19.29,0
133,169,133,7,1,4,2,15,9,6,8,12.62,18,2,0,0.44,6,0,0,0,6,0,0.71,0.36,1,4,0,0,106,1,3,29,4,32.25,0
257,401,257,16,0,0,0,74,63,11,16,14.88,57,2,0,0.53,18,2,5,3,17,120,2,0.97,0,0,0,0,382,14,0,169,18,28.28,0
109,172,109,2,2,0,0,26,4,22,3,35,23,1,0,0,3,0,0,1,2,3,2,0.44,0,0,0,0,49,3,4,13,4,9,0
557,1552,557,43,46,1,1,181,21,160,47,21.15,132,1,0,0,4,0,0,1,3,1079,0.98,0.1,1,1,2,0,203,13,24,86,14,18.86,0
163,430,163,11,15,6,6,44,19,25,17,14.59,37,1,0,0,8,0,0,0,8,58,0.72,0.14,0.5,3,5,0,107,3,5,31,5,29.8,0
201,442,201,2,0,5,0,48,23,25,6,46.67,28,1,0,0,13,0,0,0,13,0,0.4,0.4,1,5,3,0,67,1,5,33,3,42.67,0
107,180,107,12,0,3,1,16,6,10,12,8.5,21,2,0,0.67,4,1,11,1,3,18,0.7,0.33,1,3,0,0,108,3,24,84,4,67,0
459,842,459,43,2,2,0,176,19,157,45,11.91,108,1,0,0,42,0,0,0,42,970,0.82,0.09,1,2,2,0,105,9,0,72,10,26.1,0
250,266,250,8,2,8,1,32,11,21,14,11.07,34,1,1,0,13,0,0,1,12,57,0.82,0.22,1,8,1,4,54,4,0,15,5,9.6,0
102,272,102,3,1,4,0,44,31,13,4,50,40,1,0,0,26,0,0,0,26,4,0.33,0.44,1,4,1,0,72,1,0,51,4,33.75,0
91,236,91,6,7,1,1,46,12,34,8,19.25,33,1,0,0,8,0,0,0,8,26,0.71,0.38,1,1,1,0,63,3,3,22,5,14.8,0
102,223,102,3,0,1,0,16,9,7,8,16.5,18,1,0,0,9,0,0,0,9,22,0.57,0.45,1,1,5,0,38,1,2,16,4,13.5,0
122,138,122,11,0,1,0,20,12,8,11,7.36,26,3,0,0.68,1,2,10,0,1,0,0,0.36,1,1,0,0,88,5,7,33,6,19.33,0
202,626,202,2,2,4,1,106,67,39,4,96.75,57,1,0,0,25,0,0,1,24,2,0.67,0.38,1,4,1,0,174,1,1,122,4,141,0
134,228,134,8,1,2,0,6,2,4,8,16.25,10,1,0,0,2,0,0,0,2,2,0.5,0.54,1,0,0,0,206,1,8,33,3,57.33,0
102,192,102,4,3,0,0,19,9,10,4,28,20,1,0,0,1,0,0,0,1,6,2,0.35,0,0,0,0,37,1,3,7,2,15,0
164,271,151,10,0,3,0,38,25,13,13,12.85,33,2,0,0.48,11,1,1,0,11,18,0.5,0.37,1,3,0,2,36,1,4,24,2,34.5,0
63,113,63,6,0,1,0,11,6,5,8,8.62,15,2,0,0.33,3,2,2,1,2,0,0,0.33,1,1,0,2,59,2,4,22,4,21.75,0
120,239,120,12,0,3,0,15,3,12,12,12.67,24,1,0,0,4,1,1,0,4,20,0.67,0.25,1,3,0,0,232,4,75,418,5,212.4,0
86,160,86,2,4,1,1,20,6,14,5,16.6,21,1,0,0,2,0,0,0,2,8,0.75,0.25,1,1,2,0,103,4,4,28,7,16.57,0
423,631,423,26,0,19,11,122,40,82,33,12.24,55,1,0,0,2,0,0,0,2,452,0.94,0.23,1,8,1,6,129,11,0,79,12,23.17,0
115,185,115,10,0,4,0,13,2,11,10,11.7,17,1,0,0,9,1,1,8,1,3,0.67,0.35,1,4,0,0,45,2,5,15,3,19.33,0
97,347,0,3,0,0,0,56,9,47,5,43.4,21,1,0,0,3,0,0,0,3,10,2,0.6,0,0,0,2,46,3,4,50,4,32.25,0
116,327,116,4,3,2,1,51,4,47,8,27.38,42,1,0,0,14,1,1,1,13,6,0.57,0.38,1,2,2,0,101,3,1,13,4,24.25,0
80,133,80,4,0,0,0,16,1,15,5,16.2,20,1,0,0,4,1,1,0,4,10,2,0.36,0,0,0,0,100,2,0,28,3,30.67,0
633,1147,633,35,0,10,0,239,179,60,43,17.6,99,1,1,0,9,0,0,1,8,879,0.83,0.14,1,10,0,8,237,4,22,83,7,50.43,0
619,1157,619,15,16,14,14,172,13,159,17,44.71,52,1,0,0,5,0,0,1,4,114,0.94,0.31,0.14,2,1,0,129,1,4,21,3,23.67,0
694,922,673,50,1,37,2,82,37,45,58,9.36,107,1,0,0,32,0,0,4,28,1533,0.98,0.09,1,2,2,5,83,4,15,56,7,23.86,0
419,1426,321,10,10,4,4,295,60,235,11,81.64,88,1,0,0,13,0,0,0,13,3,0.47,0.25,0.25,1,0,0,106,8,13,60,9,15.56,0
280,488,280,8,0,0,0,79,58,21,14,20.21,50,3,0,0.8,14,1,4,0,14,91,2,0.21,0,0,2,4,77,2,3,19,3,23.33,0
152,355,97,19,0,7,0,47,9,38,20,10.85,40,1,0,0,6,1,1,0,6,110,0.86,0.25,1,7,1,0,100,9,10,54,10,15.7,0
165,411,165,6,0,2,0,50,4,46,7,38.57,34,1,0,0,2,1,1,0,2,0,0.08,0.33,1,2,1,0,78,2,0,19,3,16.67,0
307,360,282,2,1,33,6,66,27,39,6,36.83,54,2,0,0.44,17,0,0,0,17,7,1.07,0.39,1,1,0,3,102,3,9,45,6,25,0
301,642,301,11,1,2,1,116,85,31,24,17.58,66,1,0,0,13,0,0,1,13,262,0.85,0.39,1,2,4,8,157,9,0,98,12,26.67,0
208,437,208,8,5,8,2,62,31,31,17,16.29,59,1,0,0,22,0,0,0,22,80,0.77,0.14,0.88,7,9,0,191,7,2,165,9,53.89,0
563,1751,554,43,5,6,4,199,60,139,45,25.62,85,1,0,0,2,0,0,0,2,184,0.71,0.19,1,6,1,0,61,3,0,37,4,30.5,0
258,345,258,15,3,6,3,58,14,44,16,13.56,44,1,0,0,11,1,1,0,11,12,0.72,0.22,0.83,5,0,0,59,1,13,25,2,35.5,0
179,410,179,6,5,1,1,63,6,57,6,44.5,41,1,0,0,13,0,0,3,10,15,1.2,0.35,0,0,0,0,127,8,0,42,9,23.44,0
1734,2608,1734,50,17,12,7,281,209,72,69,21.14,186,2,0,0.03,6,0,0,0,6,2080,0.91,0.14,0.92,6,0,2,214,5,13,79,9,36.33,0
500,1254,500,31,4,15,1,184,29,155,40,20.23,135,1,0,0,35,0,0,0,35,446,0.88,0.12,0.87,13,5,0,105,3,4,90,14,26.43,0
208,384,208,8,2,5,1,16,5,11,9,26.11,17,2,0,0.62,2,1,2,0,2,4,0.57,0.29,1,5,0,0,72,1,0,11,2,31.5,0
318,1145,318,3,9,6,1,224,29,195,29,25.03,139,1,0,0,22,0,0,0,22,284,0.84,0.17,1,6,25,0,277,5,0,228,29,22.45,0
1528,5962,1528,65,15,42,18,1043,336,707,85,47.02,230,1,0,0,28,0,0,0,28,3304,0.95,0.18,0.83,35,19,0,220,11,0,220,14,53.57,0
1019,5472,1019,5,1,9,0,84,16,68,11,364.18,26,1,0,0,2,0,0,0,2,0,0.7,0.3,1,9,5,0,179,9,38,82,10,61.6,0
547,1005,547,34,0,2,0,200,115,85,37,16.89,96,3,0,0.54,10,1,1,0,10,556,0.83,0.24,1,2,3,0,228,19,1,188,20,30.25,0
114,196,114,6,5,0,0,12,5,7,6,20.5,13,1,0,0,3,0,0,0,3,15,2,0.33,0,0,0,0,60,1,0,5,6,11,0
154,419,154,12,3,1,0,56,55,1,15,16.8,45,1,0,0,12,1,1,0,12,75,0.07,0.21,1,1,1,2,79,2,3,61,3,110.33,0
145,306,145,11,1,5,2,48,18,30,12,16,31,1,0,0,6,0,0,0,6,0,0.69,0.32,1,5,0,0,718,28,84,667,30,71.1,0
242,354,242,7,0,8,0,25,20,5,8,30.12,23,1,0,0,8,0,0,0,8,14,0.68,0.42,1,8,1,0,93,3,2,24,6,26.5,0
119,265,102,6,0,5,1,51,19,32,10,17.1,50,1,0,0,16,0,0,0,16,13,0.78,0.32,0.8,4,0,4,200,8,0,86,10,33.4,0
154,419,154,12,3,1,0,56,55,1,15,16.8,45,1,0,0,13,1,1,1,12,75,0.07,0.21,1,1,1,2,79,2,3,61,3,110.33,0
140,234,140,5,9,1,1,47,17,30,9,15.56,27,1,0,0,9,0,0,0,9,36,1.12,0.54,0,0,4,0,169,4,0,122,23,16.52,0
373,662,373,7,0,12,0,25,12,13,9,49.67,27,1,0,0,9,0,0,0,9,0,0.59,0.47,1,12,2,0,126,3,3,36,8,35.25,0
121,226,121,4,1,8,5,23,5,18,5,31.2,13,1,0,0,0,1,1,0,0,0,0.62,0.5,0,0,0,0,63,5,5,17,7,10.57,0
121,226,121,4,1,8,5,23,5,18,5,31.2,13,1,0,0,0,1,1,0,0,0,0.62,0.5,0,0,0,0,63,5,5,17,7,10.57,0
121,226,121,4,1,8,5,23,5,18,5,31.2,13,1,0,0,0,1,1,0,0,0,0.62,0.5,0,0,0,0,63,5,5,17,7,10.57,0
151,253,151,4,1,11,8,26,8,18,5,35.4,13,1,0,0,1,1,1,1,0,0,0.73,0.5,0,0,0,0,63,5,5,17,7,10.57,0
121,226,121,4,1,8,5,23,5,18,5,31.2,13,1,0,0,0,1,1,0,0,0,0.62,0.5,0,0,0,0,63,5,5,17,7,10.57,0
121,226,121,4,1,8,5,23,5,18,5,31.2,13,1,0,0,0,1,1,0,0,0,0.62,0.5,0,0,0,0,63,5,5,17,7,10.57,0
121,226,121,4,1,8,5,23,5,18,5,31.2,13,1,0,0,0,1,1,0,0,0,0.62,0.5,0,0,0,0,63,5,5,17,7,10.57,0
121,226,121,4,1,8,5,23,5,18,5,31.2,13,1,0,0,0,1,1,0,0,0,0.62,0.5,0,0,0,0,63,5,5,17,7,10.57,0
345,535,35,22,7,17,1,50,7,43,30,10.47,59,1,0,0,8,0,0,0,8,385,0.96,0.14,0.35,6,1,0,97,4,11,69,6,30.67,0
526,1701,504,49,1,25,1,186,78,108,51,20.92,123,2,0,0.38,17,1,6,9,9,1001,0.9,0.14,1,24,1,0,308,19,51,304,23,37.09,0
62,170,62,5,1,1,0,13,3,10,8,13.5,14,2,0,0.22,1,2,2,0,1,0,0.14,0.41,1,1,1,2,75,2,0,17,6,13.67,0
140,225,129,6,0,5,2,24,21,3,9,15.22,25,3,0,0.69,11,1,3,0,11,18,0.93,0.31,0.6,3,0,3,81,2,2,26,3,22.33,0
127,262,127,5,0,4,0,49,32,17,5,35,37,1,0,0,8,0,0,0,8,4,0.69,0.45,1,4,0,0,99,2,0,48,4,33.75,0
155,213,155,7,0,3,2,25,9,16,7,18.29,28,2,0,0.62,3,1,1,0,3,0,0.78,0.31,1,3,0,0,65,5,8,33,7,30.14,0
159,501,159,9,1,2,0,74,74,0,12,25.92,54,1,0,0,14,1,1,0,14,30,0.36,0.27,1,2,1,2,148,3,12,163,5,140.2,0
2229,5962,2229,103,103,0,0,385,172,213,104,37.34,124,1,0,0,8,0,0,0,8,5356,2,0.12,0,0,1,0,600,14,1,314,17,158.71,0
250,781,250,5,2,7,2,104,36,68,14,37.64,52,1,0,0,6,0,0,1,5,23,0.64,0.21,0.71,5,6,0,79,3,7,24,6,12,0
314,433,290,29,0,13,1,38,4,34,31,7.77,59,1,0,0,19,0,0,0,19,323,0.87,0.14,1,13,2,0,100,6,0,79,8,25.62,0
545,1001,545,23,2,8,0,135,98,37,35,17.97,95,1,0,0,26,1,1,3,24,463,0.65,0.11,1,8,7,5,112,1,0,71,2,107,0
119,429,108,9,4,6,2,57,8,49,12,23.42,44,1,0,0,3,1,1,0,3,18,0.65,0.23,1,6,0,0,33,1,1,17,3,12,0
209,464,201,30,0,1,0,60,19,41,30,9.4,66,1,0,0,1,0,0,0,1,55,0.17,0.28,1,1,0,0,66,5,15,67,7,36.86,0
170,466,170,5,1,2,0,56,22,34,9,35.11,45,2,0,0.38,9,2,4,1,8,18,0.44,0.36,1,2,3,1,103,2,0,23,3,29.33,0
301,1634,294,15,14,2,2,31,9,22,16,71.38,24,1,0,0,0,0,0,0,0,102,0.53,0.28,1,2,0,0,33,2,0,15,3,16.33,0
492,1736,492,3,12,6,2,347,53,294,30,37.93,143,1,0,0,24,0,0,0,24,261,0.82,0.15,1,6,23,0,207,4,0,258,6,101.5,0
123,511,123,3,0,6,0,46,0,46,3,105,27,1,0,0,2,1,1,0,2,0,0,0.56,1,6,0,0,62,3,3,31,4,42.5,0
350,624,350,43,3,18,0,89,59,30,44,8.2,85,1,0,0,10,0,0,1,9,910,0.95,0.13,1,18,1,0,56,2,7,53,3,40.67,0
441,1326,441,29,30,0,0,97,41,56,31,26.29,71,1,0,0,10,0,0,7,3,465,2,0.22,0,0,2,0,136,6,40,95,7,60,0
113,134,113,6,0,4,1,13,2,11,7,10.71,14,2,0,0.7,1,0,0,0,1,0,0.54,0.43,1,4,1,0,94,3,0,44,5,32.4,0
101,156,101,7,0,3,0,22,12,10,7,12.71,20,1,0,0,10,0,0,0,10,13,0.5,0.43,1,3,0,0,59,1,1,13,2,18.5,0
79,256,65,2,0,0,0,47,8,39,2,86,28,1,0,0,5,0,0,0,5,1,2,0.67,0,0,0,0,64,1,0,61,3,82,0
78,167,78,4,0,1,0,27,2,25,4,25,27,1,0,0,11,0,0,0,11,0,0,0.38,1,1,0,0,63,1,0,11,3,15,0
123,79,123,11,4,1,1,22,8,14,11,4.55,20,2,0,0.29,7,0,0,1,6,55,1.1,0.33,0,0,0,0,42,1,0,23,2,22,0
66,62,66,3,0,1,1,5,3,2,4,7.75,8,1,0,0,4,0,0,0,4,6,1.33,0.45,1,1,1,0,30,1,0,3,2,4.5,0
66,135,66,2,1,2,1,27,4,23,4,22,20,4,0,0.98,2,1,3,0,2,0,0.33,0.58,1,2,0,1,63,5,2,21,7,12.14,0
56,114,56,3,0,4,0,2,1,1,4,18.25,5,1,0,0,1,0,0,0,1,0,0.25,0.67,1,4,1,0,52,2,2,16,3,35,0
55,114,55,3,0,4,0,2,1,1,4,18.25,5,1,0,0,1,0,0,0,1,0,0.25,0.67,1,4,1,0,50,2,2,16,3,35,0
