@relation 'Cleaned_data -ver 4'

@attribute LOC numeric
@attribute NBI numeric
@attribute LOCCOM numeric
@attribute NPM numeric
@attribute NSTAM numeric
@attribute NOF numeric
@attribute NSTAF numeric
@attribute NMC numeric
@attribute NMCI numeric
@attribute NMCE numeric
@attribute WMC numeric
@attribute AMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute MFA numeric
@attribute CBO numeric
@attribute IC numeric
@attribute CBM numeric
@attribute CA numeric
@attribute CE numeric
@attribute LCOM numeric
@attribute LCOM3 numeric
@attribute CAM numeric
@attribute DAM numeric
@attribute NPRIF numeric
@attribute NPRIM numeric
@attribute NPROM numeric
@attribute T-LOC numeric
@attribute T-NOT numeric
@attribute T-NOA numeric
@attribute T-NMC numeric
@attribute T-WMC numeric
@attribute T-AMC numeric
@attribute MUTATION_SCORE {0,1}

@data
47,36,42,6,0,1,1,2,1,1,6,2.67,8,1,0,0,3,0,0,0,3,15,1.2,0.32,1,1,0,0,23,1,2,12,2,26.5,0
65,79,53,2,0,2,0,16,1,15,3,16.33,17,2,0,0.67,10,1,1,0,10,1,0,0.58,1,2,0,1,39,5,0,12,6,8.17,0
93,175,93,2,1,3,3,25,6,19,3,36.33,22,3,0,0.98,4,1,1,0,4,0,0.83,0.75,0.67,2,0,0,39,1,1,8,2,11.5,0
127,180,127,4,1,2,0,23,3,20,5,23.2,24,1,0,0,2,0,0,0,2,6,0.5,0.47,1,2,1,0,65,1,2,20,2,82.5,0
71,127,71,2,0,0,0,18,1,17,2,44,18,1,0,0,3,0,0,1,2,1,2,0.67,0,0,0,0,50,1,0,4,3,32,0
33,112,2,2,1,0,0,14,0,14,2,35.5,16,1,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,22,1,1,5,2,6,0
59,195,59,4,0,1,0,49,12,37,4,36.5,23,1,0,0,2,0,0,0,2,0,0,0.62,1,1,0,0,48,3,0,16,4,12,0
171,313,171,4,3,3,3,37,12,25,6,33.5,26,1,0,0,6,0,0,0,6,15,1.13,0.35,0.33,1,1,0,77,1,2,29,3,39.67,0
50,118,42,7,1,5,1,13,8,5,10,7,22,2,0,0.47,2,1,1,0,2,37,0.87,0.26,1,5,1,1,33,2,0,6,3,12.67,0
59,130,34,4,3,0,0,10,1,9,4,19,11,1,0,0,0,0,0,0,0,6,2,0.44,0,0,0,0,72,5,10,22,7,17,0
86,296,81,2,1,0,0,45,11,34,4,47.5,22,1,0,0,1,0,0,0,1,6,2,0.5,0,0,1,0,109,9,0,81,13,24.38,0
47,36,42,6,0,1,1,2,1,1,6,2.67,8,1,0,0,3,0,0,0,3,15,1.2,0.32,1,1,0,0,24,1,2,12,2,26.5,0
94,153,94,8,0,6,1,22,5,17,8,11.62,24,1,0,0,6,1,1,2,4,12,0.71,0.27,1,6,0,0,52,1,0,17,2,35.5,0
235,686,235,14,13,0,0,144,60,84,14,34.43,60,1,0,0,14,0,0,1,13,91,2,0.26,0,0,0,0,240,20,48,228,21,30.1,0
288,481,277,20,0,5,0,40,14,26,22,14.5,42,2,0,0.57,7,1,1,2,6,109,0.64,0.21,1,5,0,2,107,2,0,60,3,73,0
69,87,60,2,2,5,4,13,1,12,4,12,15,1,0,0,4,0,0,1,3,2,0.93,0.67,1,5,1,0,24,1,0,7,2,6,0
72,129,48,3,3,5,3,14,4,10,6,12.17,18,1,0,0,5,0,0,0,5,7,0.84,0.6,1,5,1,0,20,1,1,4,3,2.67,0
64,92,64,2,1,1,1,15,0,15,3,16.67,15,1,0,0,3,0,0,1,2,1,0.5,0.62,0,0,0,0,64,1,1,24,2,35,0
260,308,260,26,1,12,1,19,3,16,27,6.19,41,1,0,0,6,0,0,0,6,289,0.92,0.24,1,12,0,0,148,8,11,75,9,21.67,0
56,82,56,3,0,0,0,9,2,7,3,17.33,9,1,0,0,1,0,0,0,1,3,2,0.56,0,0,0,0,53,3,3,8,4,8.75,0
60,68,60,3,1,2,0,9,3,6,4,10,12,1,0,0,3,0,0,0,3,2,0.67,0.75,1,2,1,0,147,2,2,76,5,54,0
95,291,95,5,4,0,0,54,2,52,6,32.83,30,1,0,0,0,0,0,0,0,15,2,0.58,0,0,0,0,79,5,0,28,6,12.83,0
142,309,125,5,0,1,0,50,17,33,5,44.4,34,2,0,0.64,7,0,0,0,7,0,0,0.53,1,0,0,0,88,2,0,51,5,43,0
163,413,163,4,0,4,0,72,10,62,6,44.33,48,1,0,0,5,0,0,0,5,7,0.8,0.38,1,4,2,0,43,4,0,18,5,15.6,0
128,319,128,3,1,3,2,70,12,58,6,34.83,46,1,0,0,21,0,0,0,21,7,0.73,0.34,1,3,2,0,129,2,0,109,4,67.5,0
53,69,47,4,0,0,0,12,7,5,6,7.5,14,2,0,0.77,6,1,6,0,6,15,2,0.43,0,0,0,2,87,7,7,60,8,20.5,0
88,230,76,3,1,8,7,48,6,42,5,32.4,34,1,0,0,16,0,0,0,16,0,0.91,0.44,1,8,1,0,85,3,2,36,11,10.27,0
134,241,134,2,2,7,2,28,3,25,6,23.5,26,1,0,0,7,0,0,0,7,7,0.49,0.48,0.86,6,1,0,61,3,0,18,4,15,0
157,508,157,0,14,1,1,62,3,59,15,20.6,53,1,0,0,8,0,0,8,0,99,0.86,0.14,0,0,1,0,75,2,31,75,5,34.4,0
